age,age_group,gender
20,Adult 18+,Male
20,Adult 18+,Male
25,Adult 18+,Male
31,Adult 18+,Male
33,Adult 18+,Male
34,Adult 18+,Male
33,Adult 18+,Male
29,Adult 18+,Female
33,Adult 18+,Male
56,Adult 18+,Male
33,Adult 18+,Male
18,Adult 18+,Female
46,Adult 18+,Male
14,Teen 12-17,Male
47,Adult 18+,Female
23,Adult 18+,Female
23,Adult 18+,Female
33,Adult 18+,Female
55,Adult 18+,Female
51,Adult 18+,Male
40,Adult 18+,Female
9,Child 0-11,Male
5,Child 0-11,Female
2,Child 0-11,Female
15,Teen 12-17,Male
15,Teen 12-17,Male
19,Adult 18+,Male
28,Adult 18+,Male
78,Elder 65+,Male
48,Adult 18+,Male
34,Adult 18+,Male
28,Adult 18+,Male
23,Adult 18+,Male
29,Adult 18+,Male
29,Adult 18+,Male
24,Adult 18+,Female
20,Adult 18+,Male
25,Adult 18+,Male
18,Adult 18+,Male
19,Adult 18+,Male
18,Adult 18+,Male
41,Adult 18+,Male
28,Adult 18+,Male
28,Adult 18+,Male
18,Adult 18+,Male
22,Adult 18+,Female
21,Adult 18+,Female
29,Adult 18+,Male
19,Adult 18+,Male
22,Adult 18+,Male
23,Adult 18+,Male
22,Adult 18+,Male
39,Adult 18+,Female
68,Elder 65+,Male
35,Adult 18+,Male
34,Adult 18+,Male
26,Adult 18+,Male
25,Adult 18+,Male
20,Adult 18+,Female
69,Elder 65+,Male
27,Adult 18+,Male
20,Adult 18+,Male
18,Adult 18+,Male
18,Adult 18+,Male
18,Adult 18+,Male
19,Adult 18+,Female
41,Adult 18+,Male
22,Adult 18+,Male
26,Adult 18+,Male
29,Adult 18+,Male
37,Adult 18+,Male
29,Adult 18+,Male
18,Adult 18+,Male
18,Adult 18+,Male
18,Adult 18+,Male
19,Adult 18+,Male
15,Teen 12-17,Male
17,Teen 12-17,Male
50,Adult 18+,Male
42,Adult 18+,Male
24,Adult 18+,Male
25,Adult 18+,Male
23,Adult 18+,Male
34,Adult 18+,Male
17,Teen 12-17,Female
25,Adult 18+,Female
18,Adult 18+,Male
17,Teen 12-17,Male
15,Teen 12-17,Male
19,Adult 18+,Male
19,Adult 18+,Male
19,Adult 18+,Male
25,Adult 18+,Male
33,Adult 18+,Male
28,Adult 18+,Female
29,Adult 18+,Male
21,Adult 18+,Male
25,Adult 18+,Male
20,Adult 18+,Female
20,Adult 18+,Male
17,Teen 12-17,Male
19,Adult 18+,Male
19,Adult 18+,Male
17,Teen 12-17,Male
21,Adult 18+,Male
16,Teen 12-17,Male
13,Teen 12-17,Male
23,Adult 18+,Male
20,Adult 18+,Male
20,Adult 18+,Male
18,Adult 18+,Male
68,Elder 65+,Male
57,Adult 18+,Male
66,Elder 65+,Male
62,Adult 18+,Male
51,Adult 18+,Male
64,Adult 18+,Male
21,Adult 18+,Male
36,Adult 18+,Female
19,Adult 18+,Female
21,Adult 18+,Male
23,Adult 18+,Male
20,Adult 18+,Male
26,Adult 18+,Male
21,Adult 18+,Male
36,Adult 18+,Male
23,Adult 18+,Male
21,Adult 18+,Male
20,Adult 18+,Male
62,Adult 18+,Female
24,Adult 18+,Male
40,Adult 18+,Male
29,Adult 18+,Male
18,Adult 18+,Male
19,Adult 18+,Male
16,Teen 12-17,Female
16,Teen 12-17,Male
21,Adult 18+,Male
19,Adult 18+,Male
20,Adult 18+,Male
23,Adult 18+,Male
21,Adult 18+,Male
25,Adult 18+,Male
29,Adult 18+,Male
15,Teen 12-17,Male
17,Teen 12-17,Male
22,Adult 18+,Male
23,Adult 18+,Female
23,Adult 18+,Female
22,Adult 18+,Male
43,Adult 18+,Male
23,Adult 18+,Male
21,Adult 18+,Female
18,Adult 18+,Male
22,Adult 18+,Male
33,Adult 18+,Male
18,Adult 18+,Male
16,Teen 12-17,Male
16,Teen 12-17,Male
