state,count,kill,unemployment
Alabama,4512,5122,5.775
Alaska,562,1288,6.825
Arizona,2008,2177,5.799999999999999
Arkansas,1993,2649,4.675
California,12285,15171,6.0
Colorado,1776,2965,3.7
Connecticut,1510,2903,5.5249999999999995
Delaware,1021,1576,4.9
District of Columbia,1744,3015,6.725
Florida,10276,14195,5.2
Georgia,6150,8501,5.8
Hawaii,139,270,3.35
Idaho,292,610,4.0
Illinois,16094,16695,5.949999999999999
Indiana,4308,5517,4.7
Iowa,1048,2400,3.675
Kansas,1360,1992,4.1
Kentucky,2745,3942,5.449999999999999
Louisiana,6148,7655,5.975
Maine,233,849,4.3
Maryland,4595,5422,4.925
Massachusetts,2071,5611,4.55
Michigan,4197,5390,5.550000000000001
Minnesota,1279,2087,3.8000000000000003
Mississippi,2809,3326,6.199999999999999
Missouri,5330,6256,4.875
Montana,272,597,4.225
Nebraska,851,1540,3.075
Nevada,1629,1840,6.375
New Hampshire,221,917,3.325
New Jersey,3535,5149,5.550000000000001
New Mexico,968,1562,6.424999999999999
New York,6476,9359,5.3
North Carolina,6449,8261,5.4
North Dakota,189,542,2.825
Ohio,7755,9643,5.175
Oklahoma,2329,3246,4.475
Oregon,1070,2147,5.324999999999999
Pennsylvania,7006,8413,5.375
Rhode Island,383,843,5.824999999999999
South Carolina,4388,6566,5.45
South Dakota,184,518,3.175
Tennessee,5950,7240,5.175
Texas,10402,12889,4.6
Utah,636,1015,3.5250000000000004
Vermont,123,452,3.425
Virginia,4734,5650,4.375
Washington,1983,3230,5.425
West Virginia,917,1493,6.1499999999999995
Wisconsin,2811,4410,4.325
Wyoming,115,480,4.475
